Constituency,Sl_No,Candidate_Name,Party,Symbol
Arcot,5,V.GANDHI,Vanchit Bahujan Aaghadi,Diamond
Arcot,6,S.P.SHANMUGAM,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Arcot,7,V.SEETHARAMAN,Anti Corruption Dynamic Party,Ship
Arcot,8,G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,Whistle
Arcot,9,P.VENKATESAN,Tamizhaga Vaazhvurimai Katchi,Camera
Arcot,10,R.INDHUMATHI,Independent,Flute
Arcot,11,ESWARAPPAN.M,Independent,Water melon
Arcot,12,V.SHANTHI,Independent,Grapes
Arcot,13,K.MANIKANDAN,Independent,Door bell
Arcot,14,A.VIJAY,Independent,Road roller
Vellore,1,S R K APPU,All India Anna Dravida Munnetra Kazhagam,Two leaves
Vellore,2,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,Rising sun
Vellore,3,A.SONIYA,Naam Tamilar Katchi,Farmer Carrying Plough
Vellore,4,S.M.IRSHAD,Tamizhaga Vaazhvurimai Katchi,Camera
Vellore,5,S.GIRIDHARA PRASAD,Party for the Rights of Other backward Classes,Laptop
Vellore,6,K.MUNIYAPPAN,ALL PENSIONER'S PARTY,Bangles
Vellore,7,K.M.VINAAYAGAM,Viro Ke Vir Indian Party,Gas cylinder
Vellore,8,K.VIMALA,Naam Indiar Party,Spanner
Vellore,9,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,Whistle
Vellore,10,M.VINOTHKUMAR,Anna MGR Dravida Munnetra Kazhagam,Pan
Vellore,11,S.APPU,All India Jananayaka Makkal Kazhagam,Binoculars
Vellore,12,S.MADHAN KUMAR,Independent,CCTV Camera
Vellore,13,S.RAJKAMAL,Independent,Flute
Vellore,14,M.LOGANATHAN,Independent,Bat
Vellore,15,U.VIJAYA KUMAR,Independent,Water melon
Anaikattu,1,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,Rising sun
Anaikattu,2,M.RAVIKUMAR,Naam Tamilar Katchi,Farmer Carrying Plough
Anaikattu,3,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,Two leaves
Anaikattu,4,R.SARAVANAN,Namadhu Makkal Katchi,Gas Stove
Anaikattu,5,V.VINOTHKANNA,Tamizhaga Vaazhvurimai Katchi,Camera
Anaikattu,6,V.S.VENKATESH,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Green chilli
Anaikattu,7,R.VELMURUGAN,Tamilaga Vettri Kazhagam,Whistle
Anaikattu,8,P.JAYASEELAN,Puthiya Tamilagam,Gas cylinder
Anaikattu,9,E.SURESH,Independent,Balloon
Anaikattu,10,S.SELVAMOORTHY,Independent,Bat
Anaikattu,11,M.NANDHA KUMAR,Independent,Electric pole
Anaikattu,12,K.MANOHARAN,Independent,Iron
Anaikattu,13,R.RAMESH,Independent,Water tank
Kilvaithinankuppam,1,DR. RAJESWARI. R,Dravida Munnetra Kazhagam,Rising sun
Kilvaithinankuppam,2,KALAIYENTHIRI. R,Naam Tamilar Katchi,Farmer Carrying Plough
Kilvaithinankuppam,3,JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,Two leaves
Kilvaithinankuppam,4,ANANDALAI THANGARAJ. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Kilvaithinankuppam,5,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,Whistle
Kilvaithinankuppam,6,RAJA. M,Tamizhaga Vaazhvurimai Katchi,Camera
Kilvaithinankuppam,7,KUMARESAN. L,Independent,Bucket
Kilvaithinankuppam,8,SATHISH. A,Independent,Almirah
Kilvaithinankuppam,9,MURUGAN. K.P,Independent,Batsman
Kilvaithinankuppam,10,JAYASHANKAR. J,Independent,Brush
Kilvaithinankuppam,11,JAYA BHARATH. J,Independent,Frying pan
Gudiyattam,1,J.EMALAN,Naam Tamilar Katchi,Farmer Carrying Plough
Gudiyattam,2,PARITHA PURUSHOTHAMAN.G,All India Anna Dravida Munnetra Kazhagam,Two leaves
Gudiyattam,3,K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,Nagara
Gudiyattam,4,T.POOVARASAN,Bahujan Samaj Party,Elephant
Gudiyattam,5,K.ASHA,Puthiya Tamilagam,Gas cylinder
Gudiyattam,6,K.SINDU,Tamilaga Vettri Kazhagam,Whistle
Gudiyattam,7,K.THABITHAL,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Gudiyattam,8,SUBAKARAN.A,Independent,Diamond
Gudiyattam,9,M.SUMATHI,Independent,Electric pole
Gudiyattam,10,BHARATH  MATHIRUBAN,Independent,Matchbox
Gudiyattam,11,A.RAJESH,Independent,Bat
Vaniyambadi,1,SUBRAMANI.P,Bahujan Samaj Party,Elephant
Vaniyambadi,2,SENDHIL KUMAR.G,All India Anna Dravida Munnetra Kazhagam,Two leaves
Vaniyambadi,3,MURUGESAN.G,Naam Tamilar Katchi,Farmer Carrying Plough
Vaniyambadi,4,ANBARASU.P,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Vaniyambadi,5,SUNDARAMMAL,Makkal Arasial Katchi,Pressure cooker
Vaniyambadi,6,SYED FAROOQ BASHA SSB,Indian Union Muslim League,Ladder
Vaniyambadi,7,SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,Whistle
Vaniyambadi,8,DEVENDRAN.J,Tamizhaga Vaazhvurimai Katchi,Camera
Vaniyambadi,9,ABDUL WAHID.A,Independent,Coconut farm
Vaniyambadi,10,SRINIVASAN.A,Independent,Mike
Vaniyambadi,11,SELVARAJ.M,Independent,Gift pack
Vaniyambadi,12,NAVEEN.R,Independent,CCTV Camera
Vaniyambadi,13,MANJUNATH.K,Independent,Stumps
Vaniyambadi,14,MANOJ.S,Independent,Laptop
Vaniyambadi,15,RAJESH.T,Independent,Ship
Ambur,1,AFSHIA NASRIN. S,Naam Tamilar Katchi,Farmer Carrying Plough
Ambur,2,WAZEER AHMED. J,Bahujan Samaj Party,Elephant
Ambur,3,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,Rising sun
Ambur,4,VENKATESAN. R,All India Anna Dravida Munnetra Kazhagam,Two leaves
Ambur,5,ASADULLAH. B,Indian National League,Camera
Ambur,6,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,Whistle
Ambur,7,KAREEM BASHA. A,All India Majlis-E-Inquilab-E-Millat,Ship
Ambur,8,GOVINDHAN. A,All India Youth Development Party,Ring
Ambur,9,SASI REKA. Y,Makkal Arasial Katchi,Pressure cooker
Ambur,10,HAROON RASHEED BADU,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Ambur,11,KUMARAVEL. P,Independent,Diamond
Ambur,12,FIRDOSE AHMED. M,Independent,Gas cylinder
Ambur,13,MUSHTAQ AHMED KUTLAPPAI,Independent,Bat
Ambur,14,VISWANATHAN. J,Independent,Pen nib with seven rays
Ambur,15,VENKATESAN. M,Independent,Peas
Ambur,16,SRINATH,Independent,Laptop
Jolarpet,1,KAVITHADHANDAPANI,Dravida Munnetra Kazhagam,Rising sun
Jolarpet,2,SASIREKHA K,Naam Tamilar Katchi,Farmer Carrying Plough
Jolarpet,3,SIVAKUMAR V C,Bahujan Samaj Party,Elephant
Jolarpet,4,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,Two leaves
Jolarpet,5,KALASTHIRI S,All India Uzhavargal Uzhaippalargal Katchi,Coconut farm
Jolarpet,6,KRISHNAMOORTHY D,Makkal Nala Kazhagam,Ring
Jolarpet,7,SANKAR T.K,Tamizhaga Vaazhvurimai Katchi,Camera
Jolarpet,8,SASI REKA Y,Makkal Arasial Katchi,Pressure cooker
Jolarpet,9,SENTHAMILSELVAN M,Naadaalum Makkal Katchi,Pen nib with seven rays
Jolarpet,10,MUNISAMY C,Tamilaga Vettri Kazhagam,Whistle
Jolarpet,11,KAVITHA C,Independent,Computer
Jolarpet,12,KAVITHA T,Independent,Bat
Jolarpet,13,KAMATCHI S,Independent,Jackfruit
Jolarpet,14,CHENRAYAN A,Independent,Mike
Jolarpet,15,CHENNA KESAVAN C,Independent,Diamond
Jolarpet,16,THANGARAJ P,Independent,Gas cylinder
Jolarpet,17,PRIYA K,Independent,Ship
Jolarpet,18,MOHANRAJ R,Independent,Bricks
Jolarpet,19,VEERAMANI H,Independent,Air conditioner
Tirupathur,1,ARUMUGAM. V,Naam Tamilar Katchi,Farmer Carrying Plough
Tirupathur,2,NALLATHAMBI. A,Dravida Munnetra Kazhagam,Rising sun
Tirupathur,3,RAJIV GANDHI. S,Bahujan Samaj Party,Elephant
Tirupathur,4,KALASTHIRI. S,All India Uzhavargal Uzhaippalargal Katchi,Coconut farm
Tirupathur,5,SATHIYAMOORTHY. S,Makkal Nala Kazhagam,Bead necklace
Tirupathur,6,SEKAR. N,All India Youth Development Party,Diamond
Tirupathur,7,GNANASEKAR. A,Amma Makkal Munnettra Kazagam,Pressure cooker
Tirupathur,8,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,Whistle
Tirupathur,9,RAJESH. S,Tamizhaga Vaazhvurimai Katchi,Camera
Tirupathur,10,VIJAYAKUMAR. G,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Tirupathur,11,ANJALI. M,Independent,Almirah
Tirupathur,12,GOVIND. T.G,Independent,Ludo
Tirupathur,13,SANKAR. S,Independent,Battery Torch
Tirupathur,14,GNANASEKARAN. M,Independent,Balloon
Tirupathur,15,GNANASEKARAN. R,Independent,Chain
Tirupathur,16,THIRUPATHI. C,Independent,Wheel barrow
Tirupathur,17,THIRUPATHI. S,Independent,Road roller
Tirupathur,18,THIRUPATHI. N,Independent,Bucket
Tirupathur,19,NALLATHAMBI. R,Independent,Matchbox
Tirupathur,20,BALABHARATHI. S.V,Independent,Mike
Tirupathur,21,DR.POOVALAGI. P,Independent,Ship
Tirupathur,22,MOHAN RAJ. R,Independent,Bat
Tirupathur,23,RAGUJOSEPH. J,Independent,Violin
Tirupathur,24,VENKATESAN. K,Independent,Ring
Uthangarai,1,R KUPPUSAMY,Indian National Congress,Hand
Uthangarai,2,T M  TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,Two leaves
Uthangarai,3,MEKALA,Naam Tamilar Katchi,Farmer Carrying Plough
Uthangarai,4,N ELAIYARAJA,Tamilaga Vettri Kazhagam,Whistle
Uthangarai,5,K THAVARAJ,Tamizhaga Vaazhvurimai Katchi,Camera
Uthangarai,6,PALANI R,Thakkam Katchi,Matchbox
Uthangarai,7,RAMESHWARI,Bharat Jan Chikitsa Party,Stethoscope
Uthangarai,8,VIJIYAL,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Uthangarai,9,KUMARAVEL,Independent,Mike
Uthangarai,10,A SAMRAJ,Independent,Laptop
Uthangarai,11,TAMILMANI,Independent,Coconut farm
Uthangarai,12,BAKKIYARAJ R,Independent,Bat
Uthangarai,13,MUNIRAJ,Independent,Carrom board
Bargur,1,KAVINKUMAR. S,Naam Tamilar Katchi,Farmer Carrying Plough
Bargur,2,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,Two leaves
Bargur,3,D. SIVASANKARAN,Bahujan Samaj Party,Elephant
Bargur,4,D. MATHIAZHAGAN,Dravida Munnetra Kazhagam,Rising sun
Bargur,5,S. ALBERT FRANCIS XAVIER,Tamizhaga Vaazhvurimai Katchi,Camera
Bargur,6,A. SUDHAKAR,Republican Party of India (Athawale),Ganna kisan
Bargur,7,M. NEDUNCHEZLIAN,Periyar Ambedkar Munnetra Kazhagam (PAMK),Telephone
Bargur,8,MANI. K,All India Youth Development Party,Pen nib with seven rays
Bargur,9,E. MURALIDHARAN,Tamilaga Vettri Kazhagam,Whistle
Bargur,10,K. ANNADURAI,Independent,Gas cylinder
Bargur,11,ANITHA MAYAPERUMAL,Independent,Ship
Bargur,12,D. GOVINDARAJAN,Independent,Jackfruit
Bargur,13,E.C. GOVINDARAJE,Independent,Electric pole
Bargur,14,S. SASIKUMAR,Independent,Laptop
Bargur,15,MATHESH. R,Independent,Mike
Krishnagiri,1,ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,Two leaves
Krishnagiri,2,SIVAKUMAR.S,Bahujan Samaj Party,Elephant
Krishnagiri,3,SUGANTHI,Naam Tamilar Katchi,Farmer Carrying Plough
Krishnagiri,4,CHELLAKUMAR.A,Indian National Congress,Hand
Krishnagiri,5,SINGARAVELAN VISWANATHAN,Vishwa Tamil Kazhagam,Ring
Krishnagiri,6,MANGAMMAL,Tamilar Makkal Katchi,Well
Krishnagiri,7,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,Whistle
Krishnagiri,8,MUTHULAKSHMI VEERAPPAN,Tamizhaga Vaazhvurimai Katchi,Camera
Krishnagiri,9,ADVOCATE.MUTHAIAH.S.,Thakkam Katchi,Matchbox
Krishnagiri,10,KUMARESAN.M,Independent,Bat
Krishnagiri,11,CHANDRAMOHAN.K.M.,Independent,Gas cylinder
Krishnagiri,12,SIVAN.C,Independent,Television
Krishnagiri,13,SRINIVASAN.K,Independent,Coconut farm
Krishnagiri,14,NANJUNDAN.M,Independent,Electric pole
Krishnagiri,15,VENKATESHRAJA.E,Independent,Bucket
Veppanahalli,1,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,Rising sun
Veppanahalli,2,NAGARAJ.R,Naam Tamilar Katchi,Farmer Carrying Plough
Veppanahalli,3,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,Two leaves
Veppanahalli,4,IYAPPAN.L,Tamizhaga Vaazhvurimai Katchi,Camera
Veppanahalli,5,SAMPANGI.S.R,Tamilaga Vettri Kazhagam,Whistle
Veppanahalli,6,SENTHILKUMAR.R,Tamil Nadu Ilangyar Katchi,Football player
Veppanahalli,7,PRAJAPATHI VIJAY.C,Tamilar Makkal Katchi,Well
Veppanahalli,8,ESHWARAN.C,Independent,Gas cylinder
Veppanahalli,9,GOVINDARAJ.G.J,Independent,Tiller
Veppanahalli,10,MANOHARAN.K.A,Independent,Sitar
Veppanahalli,11,YUVARAJ.K.P.U,Independent,Road roller
Veppanahalli,12,RAMASAMY.G.C,Independent,Television
Veppanahalli,13,VENKATESAN.C,Independent,Diamond
Hosur,1,SATHYA.S.A.,Dravida Munnetra Kazhagam,Rising sun
Hosur,2,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,Two leaves
Hosur,3,STALIN.R,Naam Tamilar Katchi,Farmer Carrying Plough
Hosur,4,SURYA. Y,Republican Party of India (Athawale),Ganna kisan
Hosur,5,PONNUMANI.R,Tamilar Makkal Katchi,Well
Hosur,6,VENDARKARASAN.S,Tamilaga Vettri Kazhagam,Whistle
Hosur,7,GANESH.M,Independent,Gas cylinder
Hosur,8,DR.SHANMUGAM.A.R.,Independent,Chappals
Hosur,9,DEVAPPA.Y,Independent,Jackfruit
Hosur,10,PATTABIRAMA. C,Independent,Camera
Hosur,11,MASOOD.S,Independent,Battery Torch
Hosur,12,MARIYA FRANCIS.S,Independent,Television
Hosur,13,RAJENDRAN.P,Independent,Coconut farm
Thalli,1,RAMACHANDRAN. T,Communist Party of India,Ears of corn and sickle
Thalli,2,NARASIMMA REDDY ALIAS NARASIMMAN. R,Naam Tamilar Katchi,Farmer Carrying Plough
Thalli,3,DR.NAGESH KUMAR. C,Bharatiya Janata Party,Lotus
Thalli,4,AJITH. G,Tamizhaga Vaazhvurimai Katchi,Camera
Thalli,5,SURESH. G,Tamilaga Vettri Kazhagam,Whistle
Thalli,6,JAYARAM. N,Anna Makkal Katchi,Coconut farm
Thalli,7,ASANRAJA. K,Independent,Ring
Thalli,8,KUMAR. D.J,Independent,Bucket
Thalli,9,DEVAPPA. Y,Independent,Jackfruit
Thalli,10,JAGAN. M,Independent,Computer
Palacode,1,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,Two leaves
Palacode,2,DR. DNV SENTHILKUMAR. S.,Dravida Munnetra Kazhagam,Rising sun
Palacode,3,BOOPATHI. R.,Naam Tamilar Katchi,Farmer Carrying Plough
Palacode,4,GOPI. R.,Tamilaga Vettri Kazhagam,Whistle
Palacode,5,PALANIYAMMAL. M.,Tamilar Makkal Katchi,Well
Palacode,6,RAMESH. P.,Naadaalum Makkal Katchi,Pen nib with seven rays
Palacode,7,JAYARAMAN PERUMAL. P.,Tamizhaga Vaazhvurimai Katchi,Camera
Palacode,8,KRISHNAN. L.,Independent,Dish antenna
Palacode,9,CHINNASAMY. N.,Independent,Gas cylinder
Palacode,10,SENTHILKUMAR. G.,Independent,Diamond
Palacode,11,SENTHILKUMAR. K,Independent,Flute
Palacode,12,PERUMAL MUNUSAMY. M.,Independent,Ship
Palacode,13,MADHAPPAN. P.,Independent,Mixee
Palacode,14,RAMAN. M.,Independent,Electric pole
Pennagaram,1,AJITH KUMAR. S.,Bahujan Samaj Party,Elephant
Pennagaram,2,G. K. M. TAMILKUMARAN,Indian National Congress,Hand
Pennagaram,3,PALANIYAMMAL. T.,Naam Tamilar Katchi,Farmer Carrying Plough
Pennagaram,4,KANNAN. K.,Tamilar Makkal Katchi,Well
Pennagaram,5,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,Whistle
Pennagaram,6,SELVAM. V.,Pattali Makkal Katchi,Mango
Pennagaram,7,THAVAMANI. C.,Tamizhaga Vaazhvurimai Katchi,Camera
Pennagaram,8,THIRUMURUGAN. P.,Naadaalum Makkal Katchi,Pen nib with seven rays
Pennagaram,9,ANNAMALAI. M.,Independent,Diamond
Pennagaram,10,ARUNKUMAR. G.,Independent,Binoculars
Pennagaram,11,ELAVARSAN. A.,Independent,Bricks
Pennagaram,12,SAKTHIVEL. M.,Independent,Gas cylinder
Pennagaram,13,SELVAM. V.,Independent,Batsman
Pennagaram,14,SENDRAYAN. G.,Independent,Box
Pennagaram,15,GNANASELVAM. S.,Independent,Swing
Pennagaram,16,TAMILARASAN. M.,Independent,Neck tie
Pennagaram,17,TAMILSELVI. S.,Independent,Matchbox
Pennagaram,18,POOMANI. P.,Independent,Ship
Pennagaram,19,MANIVANNAN. S.,Independent,Road roller
Pennagaram,20,MANOHARAN. K. A.,Independent,Sitar
Pennagaram,21,VILKRISHNAN. R.,Independent,Scissors
Pennagaram,22,VEERAPPAN. M.,Independent,Refrigerator
Dharmapuri,1,DR. ELANGOVAN. V.,Desiya Murpokku Dravida Kazhagam,Nagara
Dharmapuri,2,SHANTHALAKSHMI. K.,Naam Tamilar Katchi,Farmer Carrying Plough
Dharmapuri,3,SARAVANAN. A.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Dharmapuri,4,SIVAGAMI. G.,Tamilar Makkal Katchi,Water tank
Dharmapuri,5,SIVAN. M.,Tamilaga Vettri Kazhagam,Whistle
Dharmapuri,6,SOWMIYA ANBUMANI,Pattali Makkal Katchi,Mango
Dharmapuri,7,PRASANTH. DBJ.,Tamizhaga Vaazhvurimai Katchi,Camera
Dharmapuri,8,MANIKANDAN. S.,Vishwa Tamil Kazhagam,Ring
Dharmapuri,9,MADHU. P.,Naadaalum Makkal Katchi,Pen nib with seven rays
Dharmapuri,10,ARUMUGAM. MUNI.,Independent,Chappals
Dharmapuri,11,KUMAR. V.,Independent,Bricks
Dharmapuri,12,SARAVANAN. G.,Independent,Noodles bowl
Dharmapuri,13,SIVAM. R.,Independent,Frying pan
Dharmapuri,14,SIVAN. A.,Independent,Sitar
Dharmapuri,15,SUNDARAMOORTHY. M.,Independent,Gas Stove
Dharmapuri,16,THIRUPATHI. M.,Independent,Ludo
Dharmapuri,17,NAGARAJAN. D.,Independent,Well
Dharmapuri,18,PALANI. K.,Independent,Television
Dharmapuri,19,PRABHAKARAN. M.,Independent,Capsicum
Pappireddipatti,1,ARCHANA TAMILARUVI,Naam Tamilar Katchi,Farmer Carrying Plough
Pappireddipatti,2,PALANIAPPAN. P,Dravida Munnetra Kazhagam,Rising sun
Pappireddipatti,3,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,Two leaves
Pappireddipatti,4,GANESAN. S,Vishwa Tamil Kazhagam,Ring
Pappireddipatti,5,CHENNAKRISHNAN. V,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Coconut farm
Pappireddipatti,6,THILAGAVATHI. S,Tamilaga Vettri Kazhagam,Whistle
Pappireddipatti,7,POOVARASU,Tamilar Makkal Katchi,Well
Pappireddipatti,8,JAMUNARANI. M,Naadaalum Makkal Katchi,Pen nib with seven rays
Pappireddipatti,9,SATHISH. S,Independent,Batsman
Pappireddipatti,10,CHINNASAMY. P,Independent,Bucket
Pappireddipatti,11,TAMILRAJ. K,Independent,Gas cylinder
Pappireddipatti,12,PALANIAPPAN. R,Independent,Diamond
Pappireddipatti,13,MURUGAN. S,Independent,Bead necklace
Pappireddipatti,14,MOORTHI. P,Independent,Door bell
Harur,1,ANITHA. A,Naam Tamilar Katchi,Farmer Carrying Plough
Harur,2,SHANMUGAM. A,Dravida Munnetra Kazhagam,Rising sun
Harur,3,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,Two leaves
Harur,4,NEHRU. G,Bahujan Samaj Party,Elephant
Harur,5,KARUTHAMMAL. S,Naadaalum Makkal Katchi,Pen nib with seven rays
Harur,6,KUPPURAJ. K,Tamilar Makkal Katchi,Well
Harur,7,MANILA. S,Tamizhaga Vaazhvurimai Katchi,Camera
Harur,8,MARIKANNU. C,Republican Party of India (Athawale),Ganna kisan
Harur,9,RAKESH. K,Tamilaga Vettri Kazhagam,Whistle
Harur,10,VENKATESH (A) DR. V.K. SWAMY,Bharat Jan Chikitsa Party,Stethoscope
Harur,11,SAMPATH. K,Independent,Cauliflower
Harur,12,SAMPATH. C,Independent,Jackfruit
Harur,13,THANGAVEL. K,Independent,Telephone
Harur,14,PARTHIPAN. P,Independent,Gas cylinder
Chengam,1,M.P.GIRI,Dravida Munnetra Kazhagam,Rising sun
Chengam,2,S.VELU,All India Anna Dravida Munnetra Kazhagam,Two leaves
Chengam,3,J.SHOBA,Naam Tamilar Katchi,Farmer Carrying Plough
Chengam,4,C SELVAN,Republican Party of India (Athawale),Ganna kisan
Chengam,5,K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,Whistle
Chengam,6,K MANIKANDAN,Makkal Sananayaga Kudiyarasu Katchi,T.V. Remote
Chengam,7,C.MALATHI,Tamizhaga Vaazhvurimai Katchi,Camera
Chengam,8,A.CHIDAMBARAM,Independent,Sitar
Chengam,9,P.SELVAM,Independent,Gas cylinder
Chengam,10,D DHILIPKUMAR,Independent,Scissors
Chengam,11,A.BHARATHI,Independent,Tea filter
Chengam,12,A POONGODI,Independent,Bricks
Chengam,13,M.MUGILARASAN,Independent,Rubber stamp
Chengam,14,M.RAMAN MASILAMANI,Independent,Room cooler
Chengam,15,K.VELU,Independent,Binoculars
Tiruvannamalai,1,ELUMALAI. C,Bharatiya Janata Party,Lotus
Tiruvannamalai,2,RAJ. S,Bahujan Samaj Party,Elephant
Tiruvannamalai,3,VIGNESH. S,Naam Tamilar Katchi,Farmer Carrying Plough
Tiruvannamalai,4,VELU. E.V,Dravida Munnetra Kazhagam,Rising sun
Tiruvannamalai,5,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,Whistle
Tiruvannamalai,6,KANNAN. P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Tiruvannamalai,7,NAKKIRAN. A,Thamizhaka Padaippalar Makkal Katchi,Drill machine
Tiruvannamalai,8,BENNY RAJAN. C.J,Republican Party of India (Athawale),Ganna kisan
Tiruvannamalai,9,MALLI. S,Tamizhaga Vaazhvurimai Katchi,Camera
Tiruvannamalai,10,VIJAYAKUMAR. S,Naadaalum Makkal Katchi,Pen nib with seven rays
Tiruvannamalai,11,VELU. V,Anti Corruption Dynamic Party,Jackfruit
Tiruvannamalai,12,ARUL. K,Independent,Tea filter
Tiruvannamalai,13,ARUL ANAND. V,Independent,Kettle
Tiruvannamalai,14,ANBALAGAN. M,Independent,Belt
Tiruvannamalai,15,ADHITHYA PALANISAMY. A,Independent,Helmet
Tiruvannamalai,16,ANANTH. A. M,Independent,Dish antenna
Tiruvannamalai,17,ELUMALAI. A S/O ARUMUGAM,Independent,Electric pole
Tiruvannamalai,18,ELUMALAI. C  S/O CHINNAKUZHANTHAI,Independent,Cauliflower
Tiruvannamalai,19,ELUMALAI. C S/O CHINNARASU,Independent,Frock
Tiruvannamalai,20,KOTHANDAPANI. B,Independent,Scissors
Tiruvannamalai,21,SALAM .M,Independent,Diamond
Tiruvannamalai,22,PALANI. N,Independent,Television
Tiruvannamalai,23,MAHESWARI. R,Independent,Chess board
Tiruvannamalai,24,MARIKKANNU. E,Independent,Funnel
Tiruvannamalai,25,MOORTHY. P,Independent,Bat
Tiruvannamalai,26,RAMESH. V,Independent,Pressure cooker
Tiruvannamalai,27,RAJA. V,Independent,Coconut farm
Tiruvannamalai,28,VIGNESH. M,Independent,Immersion rod
Tiruvannamalai,29,VENKATESAN. M,Independent,Brush
Tiruvannamalai,30,VELU. K,Independent,Bench
Kilpennathur,1,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,Two leaves
Kilpennathur,2,PITCHANDI.K,Dravida Munnetra Kazhagam,Rising sun
Kilpennathur,3,LOGANATHAN.V,Naam Tamilar Katchi,Farmer Carrying Plough
Kilpennathur,4,SHANMUGAM.A,Thamizhaka Padaippalar Makkal Katchi,Drill machine
Kilpennathur,5,RAJASEKAR.P,Tamizhaga Vaazhvurimai Katchi,Camera
Kilpennathur,6,RAJA.D,Tamilaga Vettri Kazhagam,Whistle
Kilpennathur,7,LOKESHWARAN.R,Anti Corruption Dynamic Party,Water melon
Kilpennathur,8,JANAKIRAMAN.R,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Kilpennathur,9,ATHIYAMAAN.M,Independent,Batsman
Kilpennathur,10,RAMACHANDRAN.K,Independent,Cauliflower
Kilpennathur,11,SASIKUMAR.S,Independent,Balloon
Kilpennathur,12,SANTHOSHKUMAR.E,Independent,Cot
Kilpennathur,13,SAMPATHRAJ.M,Independent,Capsicum
Kilpennathur,14,SURYAPRAKASH.S,Independent,Tennis racket & ball
Kilpennathur,15,DHILIPKUMAR.D,Independent,Scissors
Kilpennathur,16,PICHANDI.D,Independent,Bread
Kilpennathur,17,PICHANDI.R,Independent,Carrom board
Kilpennathur,18,PICHANDI.V,Independent,Tiller
Kilpennathur,19,MURUGAN.M,Independent,T.V. Remote
Kilpennathur,20,RAMACHANDRAN.K,Independent,Gas Stove
Kilpennathur,21,RAMACHANDIRAN.R,Independent,Cake
Kilpennathur,22,RAJASEKAR.I,Independent,Road roller
Kilpennathur,23,RAJKUMAR.R,Independent,Diamond
Kalasapakkam,1,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,Two leaves
Kalasapakkam,2,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,Rising sun
Kalasapakkam,3,SEETHA SIVANANDAM. P,Naam Tamilar Katchi,Farmer Carrying Plough
Kalasapakkam,4,ELUMALAI. P,Tamilaga Vettri Kazhagam,Whistle
Kalasapakkam,5,SATHYA. V,Naadaalum Makkal Katchi,Pen nib with seven rays
Kalasapakkam,6,SARAVANAN. V,Tamizhaga Vaazhvurimai Katchi,Camera
Kalasapakkam,7,SUMAN. M,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Kalasapakkam,8,ELUMALAI. S,Independent,Electric pole
Kalasapakkam,9,ELUMALAI. T,Independent,Bucket
Kalasapakkam,10,KAMARAJ. G,Independent,Pressure cooker
Kalasapakkam,11,KRISHNAMURTHY. S,Independent,Noodles bowl
